,precision,recall,f1-score,support
0,0.99644128113879,1.0,0.9982174688057041,280.0
1,1.0,0.9964664310954063,0.9982300884955753,283.0
2,0.9928057553956835,1.0,0.9963898916967509,276.0
3,1.0,0.9964285714285714,0.998211091234347,280.0
4,1.0,0.99644128113879,0.9982174688057041,281.0
5,1.0,1.0,1.0,279.0
6,0.9964028776978417,0.9964028776978417,0.9964028776978417,278.0
7,1.0,1.0,1.0,284.0
8,1.0,0.9964028776978417,0.9981981981981982,278.0
9,0.9964539007092199,1.0,0.9982238010657194,281.0
accuracy,0.9982142857142857,0.9982142857142857,0.9982142857142857,0.9982142857142857
macro avg,0.9982103814941535,0.998214203905845,0.998209088599984,2800.0
weighted avg,0.998221961895486,0.9982142857142857,0.9982149349631195,2800.0
