,precision,recall,f1-score,support
0,1.0,1.0,1.0,280.0
1,1.0,1.0,1.0,283.0
2,1.0,1.0,1.0,276.0
3,1.0,1.0,1.0,280.0
4,1.0,0.9928825622775801,0.9964285714285714,281.0
5,0.9964285714285714,1.0,0.998211091234347,279.0
6,1.0,0.9964028776978417,0.9981981981981982,278.0
7,1.0,1.0,1.0,284.0
8,1.0,1.0,1.0,278.0
9,0.9929328621908127,1.0,0.9964539007092199,281.0
accuracy,0.9989285714285714,0.9989285714285714,0.9989285714285714,0.9989285714285714
macro avg,0.9989361433619385,0.9989285439975422,0.9989291761570337,2800.0
weighted avg,0.9989348948943535,0.9989285714285714,0.9989285600800719,2800.0
